FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Rudy Gobert,Min,C,30.38,11,32.3,67.2,15.6,12.9,59,0.695,87,0.644,2,0,0.629,0.665,13.9,12.9,21.5,1,4.4,0.64,1.55,1.55,7,131.2,103.5
Jordan Goodwin,Was,G,24.06,6,17.4,36.3,13.1,16.2,2,1,17,0.824,8,0.25,0.68,0.696,6,4,12.8,3.2,26.6,0.67,0.67,0.83,9.8,139.2,106.5
Aaron Gordon,Den,F,27.16,12,29.2,60.9,18.7,9.7,47,0.617,85,0.682,34,0.294,0.613,0.626,14.6,7,13.2,2.6,12.3,0.58,1,1.25,8.8,127.6,113.2
Eric Gordon,Hou,G,33.88,10,30.7,64,16.9,14.9,26,0.808,43,0.535,54,0.37,0.546,0.586,12.7,2.1,3.7,3.2,15.5,0.9,0.4,1.9,5.7,113.8,119.8
Devonte' Graham,Nor,G,27.72,12,17,35.3,12.3,10.1,10,0.7,9,0.222,40,0.4,0.531,0.552,4.9,1.3,4.1,2.5,18.4,0.42,0.25,0.5,5.9,121.5,111.6
Jerami Grant,Por,F,28.67,11,35.3,73.6,22.2,12.7,66,0.742,89,0.506,54,0.444,0.566,0.613,19.2,4.5,7.3,2.7,12.4,0.73,0.82,2.27,7,116.5,107.8
A.J. Green,Mil,G,23.13,1,2.2,4.6,0,,0,0,0,0,0,0,,,0,0,0,1,54.8,0,0,0,0,,
Draymond Green,Gol,F,32.69,11,30.1,62.6,13.2,26.1,17,0.588,59,0.627,10,0.3,0.601,0.608,8.5,6.4,12,6.3,27.6,1,0.55,2.45,9.3,114.7,104.8
JaMychal Green,Gol,F-C,32.39,10,17.1,35.7,13.8,17.8,5,0.8,27,0.556,17,0.235,0.477,0.498,4.6,4.7,15.5,0.6,4.6,1,0.5,1,5.5,103.7,104.1
Jalen Green,Hou,G,20.76,12,33.9,70.7,26.6,11.2,50,0.76,121,0.455,94,0.362,0.493,0.527,20.8,4.2,6.6,2.6,12.8,0.83,0.33,2.5,7.2,105.5,116.1
Javonte Green,Chi,G-F,29.31,13,18.2,37.9,13.3,12.2,15,0.8,37,0.649,21,0.381,0.621,0.65,6.5,3.4,10.3,1,7.8,1.23,0.77,0.69,6.2,126.4,98
Jeff Green,Den,F,36.21,12,20,41.8,16.1,12.1,27,0.741,51,0.588,17,0.294,0.551,0.595,7.9,2.8,7.8,1.2,7.6,0.5,0.17,0.92,6,116.1,108.8
Josh Green,Dal,G,21.99,11,18.4,38.4,11.8,17,20,0.65,17,0.765,18,0.556,0.8,0.788,6.3,2.4,7.8,0.9,7.3,1.09,0.09,0.82,5.2,139.6,102.5
AJ Griffin,Atl,F,19.22,8,12.2,25.3,18.3,4.7,2,1,18,0.667,22,0.409,0.638,0.648,6.6,1.6,6.9,0.6,7.3,0.75,0,0.25,6.1,129.7,106.6
Blake Griffin,Bos,F,33.66,5,10,20.8,16.6,21.5,6,0.833,7,0.429,5,0.4,0.5,0.581,3.4,2.4,13.4,1,13.1,0.4,0,0.8,8.1,117,97
Quentin Grimes,Nyk,G,22.51,4,8,16.7,12.8,20.2,2,1,1,1,6,0.333,0.571,0.635,2.5,0.8,4.8,0.5,8.2,0,0.25,0.5,5,113,99.6
Rui Hachimura,Was,F,24.76,12,23.8,49.6,23.7,13.1,29,0.724,96,0.531,24,0.292,0.513,0.542,12,5.2,12.1,0.8,5.5,0.17,0.58,1.67,6.2,99.8,111.1
Tyrese Haliburton,Ind,G,22.7,11,33.7,70.2,23.8,15.2,41,0.878,91,0.549,75,0.453,0.608,0.647,21.6,4.6,7.6,9.9,46.1,1.82,0.09,3,11.8,130,115.8
Jordan Hall,San,G,20.83,3,7.9,16.5,12.3,28.6,0,0,1,0,4,0.25,0.3,0.3,1,0.3,2.3,1,15.1,0,0,0.67,3.4,65.9,118.9
R.J. Hampton,Orl,G,21.76,11,15.2,31.7,16.4,17.4,14,0.929,26,0.5,20,0.55,0.641,0.69,6.5,1.6,6.1,1.4,12.9,0.73,0.36,1,6.4,124.8,106.7
Tim Hardaway Jr.,Dal,G-F,30.66,10,23.4,48.8,23.6,6.5,28,0.893,37,0.297,65,0.338,0.431,0.494,11.3,1.7,4.4,1.7,11.2,0.6,0.2,0.8,5.5,104.3,110.1
James Harden,Phi,G,33.21,9,36.7,76.5,26.4,13.4,56,0.929,83,0.518,60,0.333,0.51,0.591,22,7,11,10,45,1.11,0.67,2.89,12.6,122.2,108.1
Jaden Hardy,Dal,G,20.36,3,3.4,7.1,31.1,28.6,0,0,3,0,2,0,0,0,0,0.7,11.9,0.3,12.5,0,0,0.67,0,,
Ron Harper Jr.,Tor,F,22.58,1,3.2,6.7,13.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Montrezl Harrell,Phi,F-C,28.79,11,11.4,23.7,15.2,7.1,23,0.696,29,0.552,0,0,0.552,0.613,4.4,2.1,10.6,0.5,6,0.36,0.45,0.27,5.8,127.9,103.7
Joe Harris,Bro,G-F,31.18,10,25.6,53.2,13.9,5,3,0.333,25,0.56,49,0.327,0.514,0.511,7.7,3.6,7.8,2.1,11.5,0.6,0.3,0.4,6.1,113.4,108.1
Kevon Harris,Orl,G,25.39,9,13.6,28.4,16,17.7,14,0.786,20,0.3,11,0.364,0.387,0.471,3.9,2.3,9.7,0.6,5.4,0.44,0,0.89,5.2,95.6,101.7
Tobias Harris,Phi,F,30.33,12,33.5,69.8,18.4,6.7,21,0.714,77,0.506,67,0.418,0.563,0.578,14.8,6.3,10.7,3,14.2,1.67,0.67,0.92,7.8,118.3,106.9
Tobias Harris,Phi,F,30.33,12,33.5,69.8,18.4,6.7,21,0.714,77,0.506,67,0.418,0.563,0.578,14.8,6.3,10.7,3,14.2,1.67,0.67,0.92,7.8,118.3,106.9
Isaiah Hartenstein,Nyk,C-F,24.52,12,25.2,52.6,12.1,14.7,10,0.8,59,0.627,12,0.167,0.563,0.584,7.3,8.4,17.1,0.9,5,0.67,1.33,1.08,6,121.7,101.3
Josh Hart,Por,G,27.69,12,36.3,75.7,12.6,17.5,35,0.743,67,0.493,21,0.333,0.494,0.546,9.4,8.7,13.6,4.5,17.4,1.17,0.17,1.83,7.9,114.8,102.9
Udonis Haslem,Mia,F,42.43,2,5.1,10.6,16.8,0,2,0.5,3,0.333,0,0,0.333,0.387,1.5,1,11.4,0,0,0,0.5,0,0,82.4,103.3
Sam Hauser,Bos,F,24.93,12,15.1,31.4,15.2,1.6,4,0.75,8,0.875,51,0.49,0.754,0.757,7.7,2.1,7.7,0.6,5.6,0.25,0.25,0.08,5.6,146.4,109.2
Jaxson Hayes,Nor,C-F,22.47,5,7.4,15.4,7.8,14.5,2,0,3,0.333,2,0,0.2,0.17,0.4,1,7.6,0.6,9.4,0.2,0.2,0.2,3.4,63,101.6
Killian Hayes,Det,G,21.3,13,19.4,40.3,18.1,19.2,10,0.8,58,0.31,26,0.192,0.304,0.334,4.5,2.2,6,3.3,24.7,0.85,0.31,1.62,6.6,77.4,108.2
Gordon Hayward,Cha,F,32.64,8,31,64.5,24.4,15.2,37,0.784,78,0.513,28,0.357,0.519,0.568,17.4,4.3,7.1,4.1,21.4,0.75,0.25,2.75,8.7,106.7,113.9
Juancho Hernangomez,Tor,F,27.12,6,8.6,17.8,9.8,16.8,2,0.5,2,1,7,0.429,0.722,0.709,2.3,1.3,8.7,0.8,13,0.5,0.33,0.33,6.2,130,105.8
Willy Hernangomez,Nor,C-F,28.46,3,8.5,17.7,27.9,29.6,2,1,9,0.556,2,0,0.455,0.505,4,4,26.3,0.3,5.7,0.33,0,1.67,7.9,84.5,97.1
Tyler Herro,Mia,G,22.81,10,31.4,65.4,26.6,11.1,31,0.903,90,0.533,64,0.375,0.545,0.585,19.6,6.4,11.9,2.6,14.7,0.7,0.6,2.1,8.8,108.7,107.7
Buddy Hield,Ind,G,29.9,11,31.7,66.1,21.5,10.3,13,0.923,51,0.588,109,0.404,0.6,0.615,18.5,5.3,9.1,3.3,15.8,0.82,0.36,1.73,8.7,119.1,113.9
Haywood Highsmith,Mia,F,25.92,5,5.5,11.5,14.5,33.3,0,0,2,0.5,4,0,0.167,0.167,0.4,0.8,8.5,0,0,0.6,0,0.6,0,22.9,104.7
George Hill,Mil,G,36.53,12,22.7,47.2,11.2,10.9,28,0.714,27,0.519,26,0.231,0.434,0.505,5.5,1.8,3.9,2.6,15.1,0.42,0.08,0.67,5.2,114.7,104
Malcolm Hill,Chi,F,27.05,3,0.4,0.8,0,,0,0,0,0,0,0,,,0,0.3,46.3,0,0,0,0,0,0,,
Aaron Holiday,Atl,G,26.12,12,19.2,39.9,11.7,16.9,9,0.889,37,0.432,13,0.538,0.53,0.565,5.1,1.4,3.8,1.9,12.2,0.83,0.25,0.92,5,110.5,109.5
Jrue Holiday,Mil,G,32.42,10,33.1,69,26.3,13.9,28,0.857,101,0.495,67,0.358,0.512,0.543,19.6,5.7,8.8,7.9,39.4,1.5,0.7,2.9,11.6,114.1,101.9
Justin Holiday,Atl,F-G,33.61,12,19.7,41,14.9,8.2,0,0,23,0.522,55,0.345,0.519,0.519,6.8,1.1,2.8,1.2,7.5,0.33,0.25,0.58,4.2,103.1,108.8
Richaun Holmes,Sac,F,29.08,8,12.7,26.5,11.9,18.1,6,0.667,20,0.7,0,0,0.7,0.707,4,2.9,13.4,0,0,0.25,0.13,0.63,0,123.1,102.7
Al Horford,Bos,C-F,36.44,10,31.4,65.3,12.4,8,7,0.571,31,0.677,46,0.478,0.701,0.699,11.2,6.1,10.9,2.1,9.2,0.4,0.7,0.7,6.7,135.3,110.4
